User,Date,NumOfActsInDay
40,2009-09-05,9
40,2009-09-07,23
40,2009-09-12,30
40,2009-09-20,9
40,2009-09-24,9
40,2009-09-25,9
40,2009-10-03,36
40,2009-10-04,15
40,2009-10-06,9
40,2009-10-08,12
40,2009-11-10,10
40,2009-12-09,13
40,2009-12-16,57
40,2009-12-17,73
40,2009-12-18,33
40,2009-12-19,10
40,2009-12-20,16
40,2009-12-23,26
40,2009-12-24,17
40,2009-12-31,11
40,2010-02-13,11
40,2010-02-19,11
40,2010-02-20,41
40,2010-02-21,12
40,2010-02-27,13
40,2010-03-12,31
40,2010-03-13,16
40,2010-03-16,3
40,2010-04-23,8
40,2010-05-21,19
40,2010-06-25,41
40,2010-06-26,22
40,2010-06-27,32
40,2010-07-24,5
40,2010-08-08,11
40,2010-08-20,11
40,2010-08-22,28
40,2010-08-25,20
40,2010-08-31,17
40,2010-09-04,21
40,2010-10-09,10
40,2010-10-10,2
40,2010-10-16,23
40,2010-10-21,16
40,2010-10-23,10
40,2010-10-24,11
40,2010-10-27,10
40,2010-10-30,9
40,2010-11-01,11
40,2010-11-04,11
40,2010-11-06,8
40,2010-11-20,8
40,2010-11-21,15
40,2011-01-30,9
40,2011-03-11,18
40,2011-03-12,12
40,2011-03-13,9
40,2011-03-14,4
40,2011-03-15,6
40,2011-05-14,22
50,2009-05-18,14
50,2009-05-20,13
50,2009-07-30,29
50,2009-08-11,25
50,2009-08-24,12
50,2009-08-25,26
50,2009-08-26,15
50,2009-08-27,11
50,2009-09-04,10
50,2009-09-09,12
50,2009-09-14,19
50,2009-09-16,10
50,2009-09-18,19
50,2009-09-19,11
50,2009-09-30,22
50,2009-10-01,12
50,2009-10-02,13
50,2009-10-05,10
50,2009-10-07,10
50,2009-10-08,13
50,2009-10-09,12
50,2009-10-14,20
50,2009-10-15,19
50,2009-10-16,17
50,2009-10-17,12
50,2009-10-19,11
50,2009-10-20,16
50,2009-10-21,17
50,2009-10-22,15
50,2009-10-26,12
50,2009-10-30,17
50,2009-11-07,12
50,2009-11-10,10
50,2009-11-25,13
50,2009-11-27,17
50,2009-11-28,14
50,2009-12-01,11
50,2009-12-08,11
50,2009-12-15,46
50,2009-12-16,55
50,2009-12-17,54
50,2009-12-18,55
50,2009-12-19,23
50,2009-12-21,69
50,2009-12-22,22
50,2009-12-23,41
50,2010-02-15,15
50,2010-02-25,42
50,2010-03-10,11
50,2010-03-11,28
50,2010-03-12,47
50,2010-03-14,22
50,2010-03-16,40
50,2010-03-17,22
50,2010-03-18,34
50,2010-03-21,12
50,2010-03-26,20
50,2010-03-30,11
50,2010-04-01,16
50,2010-04-07,19
50,2010-06-01,15
50,2010-06-16,25
50,2010-07-12,7
50,2010-08-16,22
50,2010-08-17,13
50,2010-08-18,20
50,2010-09-21,9
50,2010-10-21,15
50,2010-10-25,27
50,2010-12-02,15
50,2010-12-03,9
57,2009-03-21,13
57,2009-03-24,10
57,2009-04-05,15
57,2009-04-11,9
57,2009-10-01,27
57,2009-10-02,23
57,2009-10-10,10
57,2009-10-11,10
57,2009-10-12,17
57,2009-10-13,17
57,2009-10-14,12
57,2009-10-16,8
57,2009-10-17,24
57,2009-10-24,12
57,2009-10-25,72
57,2009-10-26,26
57,2009-10-27,16
57,2009-10-29,9
57,2009-10-31,10
57,2009-11-02,36
57,2009-11-04,16
57,2009-11-05,35
57,2009-11-06,21
57,2009-11-08,93
57,2009-11-09,20
57,2009-11-10,19
57,2009-11-11,34
57,2009-11-12,45
57,2009-11-13,73
57,2009-11-15,10
57,2009-11-18,20
57,2009-11-19,15
57,2009-11-22,18
57,2009-11-24,19
57,2009-11-25,14
57,2009-11-27,31
57,2009-11-28,18
57,2009-12-01,18
57,2009-12-02,15
57,2009-12-03,29
57,2009-12-04,15
57,2009-12-05,32
57,2009-12-06,22
57,2009-12-07,28
57,2009-12-08,15
57,2009-12-09,35
57,2009-12-11,13
57,2009-12-16,102
57,2009-12-17,35
57,2009-12-18,61
57,2009-12-19,194
57,2009-12-20,63
57,2009-12-21,47
57,2009-12-22,46
57,2009-12-23,14
57,2009-12-24,53
57,2009-12-25,100
57,2009-12-26,24
57,2009-12-31,26
57,2010-01-01,16
57,2010-01-02,11
57,2010-01-05,9
57,2010-01-06,11
57,2010-01-08,11
57,2010-01-09,21
57,2010-01-10,32
57,2010-01-12,33
57,2010-01-13,11
57,2010-01-15,13
57,2010-01-16,75
57,2010-01-19,21
57,2010-01-21,21
57,2010-01-23,22
57,2010-01-24,29
57,2010-01-26,34
57,2010-01-27,50
57,2010-01-29,26
57,2010-01-30,20
57,2010-02-01,23
57,2010-02-02,22
57,2010-02-03,11
57,2010-02-04,22
57,2010-02-06,22
57,2010-02-07,33
57,2010-02-08,9
57,2010-02-09,15
57,2010-02-10,29
57,2010-02-11,10
57,2010-02-12,27
57,2010-02-13,24
57,2010-02-14,28
57,2010-02-15,50
57,2010-02-16,13
57,2010-02-17,37
57,2010-02-18,13
57,2010-02-19,23
57,2010-02-20,14
57,2010-02-21,20
57,2010-02-22,12
57,2010-02-23,14
57,2010-02-24,33
57,2010-02-25,11
57,2010-02-26,22
57,2010-03-02,11
57,2010-03-03,10
57,2010-03-04,14
57,2010-03-05,20
57,2010-03-06,13
57,2010-03-10,26
57,2010-03-11,16
57,2010-03-12,30
57,2010-03-13,38
57,2010-03-14,20
57,2010-03-16,11
57,2010-03-18,8
57,2010-03-21,16
57,2010-03-24,17
57,2010-03-28,26
57,2010-04-01,43
57,2010-04-02,21
57,2010-04-05,27
57,2010-04-06,28
57,2010-04-07,11
57,2010-04-08,14
57,2010-04-11,8
57,2010-04-15,13
57,2010-04-16,9
57,2010-04-18,10
57,2010-04-21,14
57,2010-04-23,13
57,2010-04-25,16
57,2010-05-01,33
57,2010-05-04,9
57,2010-05-05,12
57,2010-05-08,14
57,2010-05-20,8
57,2010-05-21,15
57,2010-05-22,9
57,2010-05-26,24
57,2010-05-27,10
57,2010-05-30,11
57,2010-06-02,13
57,2010-06-05,11
57,2010-06-06,13
57,2010-06-07,20
57,2010-06-11,23
57,2010-06-12,8
57,2010-06-13,30
57,2010-06-17,26
57,2010-06-18,12
57,2010-06-20,10
57,2010-06-27,11
57,2010-07-02,12
57,2010-07-10,20
57,2010-08-01,11
57,2010-08-08,14
57,2010-08-17,16
57,2010-08-18,17
57,2010-08-19,18
57,2010-08-20,18
57,2010-09-04,14
57,2010-09-16,15
57,2010-09-18,13
57,2010-09-30,16
57,2010-10-01,23
57,2010-10-02,22
57,2010-10-07,11
57,2010-10-09,16
57,2010-10-14,19
57,2010-10-15,26
57,2010-10-16,14
57,2010-10-17,12
57,2010-10-19,21
57,2010-10-20,25
57,2010-10-21,17
57,2010-10-22,19
57,2010-10-23,9
57,2010-10-25,13
57,2010-10-28,22
57,2010-10-31,10
57,2010-11-02,11
57,2010-11-03,8
57,2010-11-05,15
57,2010-11-11,10
57,2010-11-12,20
57,2010-11-16,13
57,2010-11-19,13
57,2010-11-22,11
57,2010-11-24,11
57,2010-11-26,17
57,2010-11-29,11
57,2010-11-30,14
57,2010-12-01,28
57,2010-12-02,113
57,2010-12-03,9
57,2010-12-04,12
57,2010-12-05,16
57,2010-12-06,14
57,2010-12-07,10
57,2010-12-08,29
57,2010-12-09,22
57,2010-12-10,64
57,2010-12-11,9
57,2010-12-12,16
57,2010-12-15,14
57,2010-12-17,17
57,2010-12-20,14
57,2010-12-22,12
57,2010-12-23,31
57,2011-01-15,11
60,2009-03-13,8
60,2009-03-24,7
60,2009-03-26,20
60,2009-03-27,8
60,2009-03-29,14
60,2009-03-30,11
60,2009-03-31,23
60,2009-04-02,7
60,2009-04-06,10
60,2009-04-09,10
60,2009-04-10,23
60,2009-04-14,4
60,2009-04-15,10
60,2009-04-17,5
60,2009-04-18,6
60,2009-04-21,8
60,2009-04-22,38
60,2009-04-24,13
60,2009-04-26,6
60,2009-05-01,13
60,2009-05-02,13
60,2009-05-13,9
60,2009-05-14,10
60,2009-05-15,13
60,2009-05-19,15
60,2009-05-20,12
60,2009-05-23,6
60,2009-05-24,23
60,2009-05-25,17
60,2009-05-26,15
60,2009-05-27,7
60,2009-06-06,24
60,2009-06-12,16
60,2009-06-15,10
60,2009-06-20,5
60,2009-06-21,15
60,2009-06-23,4
60,2009-06-27,8
60,2009-07-01,2
60,2009-07-03,15
60,2009-07-05,13
60,2009-07-07,40
60,2009-07-12,14
60,2009-07-14,13
60,2009-07-16,19
60,2009-07-22,15
60,2009-07-25,14
60,2009-07-31,11
60,2009-08-03,19
60,2009-08-04,10
60,2009-08-05,19
60,2009-08-11,11
60,2009-08-13,16
60,2009-08-18,8
60,2009-08-23,16
60,2009-08-24,14
60,2009-08-25,20
60,2009-08-26,7
60,2009-08-27,47
60,2009-08-30,12
60,2009-08-31,17
60,2009-09-02,28
60,2009-09-03,19
60,2009-09-04,16
60,2009-09-06,11
60,2009-09-08,17
60,2009-09-10,15
60,2009-09-11,14
60,2009-09-13,30
60,2009-09-15,10
60,2009-09-16,47
60,2009-09-17,29
60,2009-09-18,35
60,2009-09-19,10
60,2009-09-20,18
60,2009-09-21,13
60,2009-09-22,33
60,2009-09-23,22
60,2009-09-24,19
60,2009-09-25,28
60,2009-09-26,14
60,2009-09-29,16
60,2009-09-30,18
60,2009-10-01,29
60,2009-10-02,14
60,2009-10-05,31
60,2009-10-06,26
60,2009-10-07,13
60,2009-10-08,15
60,2009-10-09,24
60,2009-10-11,14
60,2009-10-13,23
60,2009-10-15,32
60,2009-10-16,18
60,2009-10-17,44
60,2009-10-18,18
60,2009-10-20,37
60,2009-10-21,25
60,2009-10-24,13
60,2009-10-30,18
60,2009-11-04,16
60,2009-11-06,14
60,2009-11-20,11
60,2009-11-21,22
60,2009-11-23,22
60,2009-11-24,21
60,2009-11-25,17
60,2009-12-05,33
60,2009-12-06,31
60,2009-12-07,13
60,2009-12-08,36
60,2009-12-09,18
60,2009-12-11,23
60,2009-12-13,11
60,2009-12-15,89
60,2009-12-16,100
60,2009-12-17,98
60,2009-12-18,24
60,2009-12-19,13
60,2009-12-22,21
60,2009-12-23,24
60,2009-12-24,15
60,2009-12-26,12
60,2009-12-27,12
60,2009-12-28,19
60,2009-12-29,32
60,2009-12-30,31
60,2009-12-31,12
60,2010-01-05,10
60,2010-01-12,25
60,2010-01-13,9
60,2010-01-22,12
60,2010-01-26,10
60,2010-01-28,21
60,2010-02-03,28
60,2010-02-05,14
60,2010-02-07,12
60,2010-02-12,78
60,2010-02-16,19
60,2010-02-19,9
60,2010-02-27,12
60,2010-03-01,17
60,2010-03-02,16
60,2010-03-03,14
60,2010-03-04,28
60,2010-03-07,18
60,2010-03-09,16
60,2010-03-12,18
60,2010-03-14,11
60,2010-03-15,14
60,2010-03-16,10
60,2010-03-17,15
60,2010-03-19,13
60,2010-03-21,11
60,2010-03-22,32
60,2010-03-24,30
60,2010-04-08,9
60,2010-04-11,11
60,2010-04-13,7
60,2010-04-20,7
60,2010-04-21,9
60,2010-05-15,8
60,2010-06-01,11
60,2010-06-06,21
60,2010-06-07,29
60,2010-06-08,13
60,2010-06-09,21
60,2010-06-25,5
60,2010-07-11,8
60,2010-07-29,8
60,2010-07-30,35
60,2010-08-03,9
60,2010-08-08,23
60,2010-08-09,10
60,2010-08-10,9
60,2010-08-17,27
60,2010-08-20,15
60,2010-09-03,27
60,2010-09-15,11
60,2010-10-15,25
60,2010-10-16,63
60,2010-11-23,22
60,2010-11-24,37
60,2010-12-03,11
60,2010-12-13,10
60,2011-02-07,9
60,2011-02-11,10
60,2011-03-10,11
60,2011-03-11,11
60,2011-03-16,13
60,2011-03-20,11
60,2011-06-23,15
60,2011-06-24,22
60,2011-06-25,27
64,2009-05-11,12
64,2009-11-17,14
64,2009-11-20,12
64,2009-11-30,14
64,2009-12-02,8
64,2009-12-03,11
64,2009-12-07,9
64,2009-12-09,18
64,2009-12-10,11
64,2009-12-15,32
64,2009-12-16,32
64,2009-12-17,48
64,2009-12-18,16
64,2009-12-19,10
64,2009-12-21,40
64,2009-12-22,35
64,2009-12-23,17
64,2009-12-28,32
64,2010-01-06,31
64,2010-01-07,34
64,2010-01-12,32
64,2010-01-14,10
64,2010-01-15,14
64,2010-01-18,16
64,2010-01-28,14
64,2010-02-03,18
64,2010-02-04,27
64,2010-02-15,24
64,2010-02-16,12
64,2010-02-28,37
64,2010-03-01,14
64,2010-03-02,15
64,2010-03-03,12
64,2010-03-04,16
64,2010-03-05,19
64,2010-03-06,17
64,2010-03-07,15
64,2010-03-08,19
64,2010-03-09,63
64,2010-03-10,44
64,2010-03-15,10
64,2010-03-16,13
64,2010-03-18,17
64,2010-03-19,17
64,2010-03-20,17
64,2010-03-23,12
64,2010-03-24,12
64,2010-03-25,14
64,2010-03-28,34
64,2010-04-11,25
64,2010-04-12,12
64,2010-04-16,23
64,2010-04-21,12
64,2010-06-04,18
64,2010-06-16,54
64,2010-06-23,26
64,2010-06-28,15
64,2010-07-18,9
64,2010-07-20,9
64,2010-07-21,23
64,2010-08-04,14
64,2010-08-17,34
64,2010-08-18,40
64,2010-08-19,44
64,2010-08-21,18
64,2010-08-24,19
64,2010-08-25,11
64,2010-08-26,24
64,2010-08-27,20
64,2010-08-28,27
64,2010-08-29,17
64,2010-09-01,34
64,2010-09-04,40
64,2010-09-08,28
64,2010-09-10,36
64,2010-09-25,24
64,2010-10-05,22
64,2010-10-14,9
64,2010-11-10,14
64,2010-12-08,35
64,2010-12-09,53
64,2010-12-17,27
64,2010-12-18,14
64,2010-12-19,102
71,2009-06-24,9
71,2009-09-03,10
71,2009-09-26,25
71,2009-10-16,9
71,2009-10-20,15
71,2009-10-22,15
71,2009-10-23,16
71,2009-10-26,16
71,2009-10-28,13
71,2009-10-30,9
71,2009-11-02,10
71,2009-11-03,14
71,2009-11-04,8
71,2009-11-09,19
71,2009-11-13,11
71,2009-11-14,179
71,2009-11-15,23
71,2009-11-16,9
71,2009-11-19,11
71,2009-11-24,7
71,2009-11-30,11
71,2009-12-02,9
71,2009-12-03,11
71,2009-12-04,42
71,2009-12-09,38
71,2009-12-10,15
71,2009-12-11,62
71,2009-12-12,16
71,2009-12-14,9
71,2009-12-16,26
71,2009-12-19,11
71,2009-12-23,23
71,2009-12-31,12
71,2010-01-02,18
71,2010-01-04,9
71,2010-01-12,15
71,2010-01-15,10
71,2010-01-20,12
71,2010-01-21,17
71,2010-01-22,13
71,2010-01-27,23
71,2010-02-02,9
71,2010-02-11,10
71,2010-02-13,18
71,2010-02-14,27
71,2010-02-15,9
71,2010-02-19,23
71,2010-02-20,13
71,2010-02-23,10
71,2010-02-26,18
71,2010-02-27,24
71,2010-03-03,16
71,2010-03-12,13
71,2010-03-13,7
71,2010-03-17,12
71,2010-03-19,15
71,2010-03-23,16
71,2010-03-28,12
71,2010-04-10,34
71,2010-06-25,21
71,2010-09-01,10
71,2010-09-05,22
72,2009-03-16,14
72,2009-04-04,10
72,2009-05-12,9
72,2009-05-16,13
72,2009-05-21,27
72,2009-06-28,13
72,2009-07-05,9
72,2009-08-23,10
72,2009-09-29,13
72,2009-10-02,15
72,2009-10-03,18
72,2009-10-06,60
72,2009-10-07,74
72,2009-10-16,12
72,2009-10-18,14
72,2009-10-21,24
72,2009-10-24,12
72,2009-10-25,24
72,2009-10-26,32
72,2009-10-29,27
72,2009-10-31,12
72,2009-11-01,15
72,2009-11-04,11
72,2009-11-05,10
72,2009-11-08,25
72,2009-11-14,19
72,2009-11-17,10
72,2009-11-18,9
72,2009-11-20,16
72,2009-11-21,16
72,2009-11-22,28
72,2009-11-24,36
72,2009-11-25,31
72,2009-11-26,25
72,2009-11-27,38
72,2009-11-28,116
72,2009-11-29,26
72,2009-12-01,17
72,2009-12-02,9
72,2009-12-03,25
72,2009-12-04,77
72,2009-12-05,44
72,2009-12-07,15
72,2009-12-09,30
72,2009-12-10,81
72,2009-12-11,69
72,2009-12-12,52
72,2009-12-15,24
72,2009-12-16,33
72,2009-12-17,11
72,2009-12-18,38
72,2009-12-19,12
72,2009-12-20,56
72,2009-12-24,18
72,2009-12-25,8
72,2009-12-26,12
72,2009-12-27,11
72,2009-12-28,18
72,2009-12-30,30
72,2009-12-31,57
72,2010-01-01,24
72,2010-01-10,35
72,2010-01-11,11
72,2010-01-14,33
72,2010-01-16,219
72,2010-01-18,42
72,2010-01-20,241
72,2010-01-21,17
72,2010-02-02,12
72,2010-02-05,33
72,2010-02-11,10
72,2010-02-13,19
72,2010-02-14,13
72,2010-02-18,58
72,2010-02-19,25
72,2010-02-24,51
72,2010-02-25,76
72,2010-03-12,16
72,2010-03-19,9
72,2010-03-26,25
72,2010-03-31,24
72,2010-04-03,10
72,2010-04-04,18
72,2010-04-20,18
72,2010-04-23,11
72,2010-04-29,11
72,2010-05-01,93
72,2010-05-02,28
72,2010-05-03,11
72,2010-05-06,17
72,2010-05-09,10
72,2010-05-12,32
72,2010-05-13,67
72,2010-05-14,196
72,2010-05-15,49
72,2010-05-16,58
72,2010-05-22,23
72,2010-05-26,10
72,2010-05-30,95
72,2010-06-02,18
72,2010-06-03,29
72,2010-06-07,16
72,2010-06-12,49
72,2010-06-14,30
72,2010-06-18,9
72,2010-06-19,26
72,2010-06-20,21
72,2010-06-25,14
72,2010-07-02,61
72,2010-07-05,35
72,2010-07-07,14
72,2010-07-08,21
72,2010-07-09,9
72,2010-07-12,32
72,2010-07-13,15
72,2010-07-14,70
72,2010-07-15,74
72,2010-07-18,10
72,2010-07-21,28
72,2010-07-24,41
72,2010-08-03,29
72,2010-08-07,31
72,2010-08-14,10
72,2010-08-21,18
72,2010-09-03,12
72,2010-09-04,273
72,2010-09-05,65
72,2010-09-06,12
72,2010-09-18,89
72,2010-09-19,69
72,2010-09-22,13
72,2010-09-25,27
72,2010-10-12,17
72,2010-10-13,22
72,2010-10-15,338
72,2010-10-16,427
72,2010-10-17,31
72,2010-10-19,16
72,2010-10-27,33
72,2010-10-28,192
72,2010-10-29,101
72,2010-10-30,131
72,2010-11-07,46
72,2010-11-10,10
72,2010-11-13,242
72,2010-11-15,71
72,2010-11-21,41
72,2010-12-04,49
72,2010-12-07,54
72,2010-12-08,63
72,2010-12-15,12
72,2010-12-16,10
72,2011-01-13,11
72,2011-01-15,15
72,2011-03-01,10
72,2011-03-10,53
72,2011-03-12,11
72,2011-03-13,19
78,2009-09-26,13
78,2009-10-13,13
78,2009-12-01,12
78,2009-12-02,15
78,2009-12-04,23
78,2009-12-08,38
78,2009-12-12,42
78,2009-12-16,46
78,2009-12-17,71
78,2009-12-19,22
78,2009-12-23,83
78,2009-12-31,22
78,2010-01-04,27
78,2010-01-05,34
78,2010-01-07,41
78,2010-01-08,33
78,2010-01-13,58
78,2010-01-14,41
78,2010-01-16,23
78,2010-01-21,41
78,2010-01-22,10
78,2010-01-23,12
78,2010-01-26,20
78,2010-01-27,30
78,2010-01-30,55
78,2010-02-03,14
78,2010-02-06,36
78,2010-02-07,14
78,2010-02-08,31
78,2010-02-09,12
78,2010-02-13,21
78,2010-02-15,27
78,2010-02-16,11
78,2010-02-18,17
78,2010-02-19,18
78,2010-02-20,15
78,2010-03-06,20
78,2010-03-07,16
78,2010-03-09,25
78,2010-03-26,13
78,2010-03-27,19
78,2010-03-30,26
78,2010-04-17,10
78,2010-04-19,13
78,2010-04-22,28
78,2010-05-09,14
78,2010-05-11,15
78,2010-05-12,9
78,2010-05-14,31
78,2010-05-15,12
78,2010-05-20,26
78,2010-05-21,12
78,2010-05-22,18
78,2010-05-23,11
78,2010-05-27,87
78,2010-05-28,82
78,2010-05-29,16
78,2010-05-30,56
78,2010-06-01,85
78,2010-06-02,24
78,2010-06-03,132
78,2010-06-04,67
78,2010-06-05,17
78,2010-06-06,9
78,2010-06-09,12
78,2010-06-10,19
78,2010-06-12,29
78,2010-06-13,20
78,2010-06-15,13
78,2010-06-18,23
78,2010-06-20,21
78,2010-06-26,11
78,2010-06-27,12
78,2010-07-08,14
78,2010-07-11,13
78,2010-11-05,27
78,2011-05-02,10
78,2011-06-09,15
88,2009-06-03,11
88,2009-06-08,14
88,2009-06-30,34
88,2009-07-02,31
88,2009-07-09,14
88,2009-07-10,45
88,2009-07-13,35
88,2009-07-14,50
88,2009-07-15,31
88,2009-07-16,18
88,2009-07-20,9
88,2009-07-21,27
88,2009-07-22,51
88,2009-07-23,41
88,2009-07-24,23
88,2009-07-26,8
88,2009-07-27,34
88,2009-07-28,19
88,2009-07-29,59
88,2009-07-30,36
88,2009-07-31,20
88,2009-08-03,9
88,2009-08-04,37
88,2009-08-05,12
88,2009-08-10,16
88,2009-08-11,10
88,2009-08-14,10
88,2009-08-19,7
88,2009-08-20,6
88,2009-08-21,9
88,2009-08-26,12
88,2009-08-27,23
88,2009-09-01,7
88,2009-09-09,8
88,2009-09-15,12
88,2009-09-18,28
88,2009-09-20,11
88,2009-09-21,84
88,2009-09-22,29
88,2009-09-23,36
88,2009-09-24,43
88,2009-09-25,24
88,2009-09-28,20
88,2009-09-30,14
88,2009-10-01,10
88,2009-10-02,45
88,2009-10-05,47
88,2009-10-06,22
88,2009-10-08,9
88,2009-10-12,9
88,2009-10-13,30
88,2009-10-15,8
88,2009-10-23,29
88,2009-10-26,11
88,2009-10-27,8
88,2009-11-06,56
88,2009-11-10,9
88,2009-11-11,32
88,2009-11-13,23
88,2009-11-17,13
88,2009-11-23,50
88,2009-11-25,12
88,2009-11-26,10
88,2009-11-27,28
88,2009-11-30,12
88,2009-12-01,24
88,2009-12-04,12
88,2009-12-07,11
88,2009-12-08,21
88,2009-12-11,10
88,2009-12-14,11
88,2009-12-15,48
88,2009-12-16,31
88,2009-12-17,68
88,2009-12-18,70
88,2009-12-19,88
88,2009-12-20,75
88,2009-12-21,60
88,2009-12-22,98
88,2009-12-23,14
88,2009-12-24,28
88,2009-12-25,9
88,2009-12-27,16
88,2009-12-28,9
88,2009-12-31,32
88,2010-01-04,38
88,2010-01-05,13
88,2010-01-06,22
88,2010-01-07,18
88,2010-01-09,43
88,2010-01-10,12
88,2010-01-11,22
88,2010-01-12,27
88,2010-01-13,15
88,2010-01-14,96
88,2010-01-15,33
88,2010-01-19,11
88,2010-01-21,17
88,2010-01-22,33
88,2010-01-25,13
88,2010-01-27,38
88,2010-01-29,14
88,2010-02-02,15
88,2010-02-03,15
88,2010-02-04,17
88,2010-02-05,22
88,2010-02-09,12
88,2010-02-14,14
88,2010-02-15,21
88,2010-02-16,16
88,2010-02-17,36
88,2010-02-19,19
88,2010-02-22,28
88,2010-02-23,17
88,2010-02-24,41
88,2010-02-25,14
88,2010-02-26,20
88,2010-02-28,51
88,2010-03-01,13
88,2010-03-09,11
88,2010-03-10,15
88,2010-03-11,35
88,2010-03-12,17
88,2010-03-15,37
88,2010-03-16,13
88,2010-03-17,23
88,2010-03-19,23
88,2010-03-25,12
88,2010-03-31,8
88,2010-04-02,26
88,2010-04-06,19
88,2010-04-07,51
88,2010-04-08,80
88,2010-04-12,17
88,2010-04-13,64
88,2010-04-21,11
88,2010-05-16,13
88,2010-06-15,20
88,2010-06-20,38
88,2010-06-23,10
88,2010-06-24,9
88,2010-06-25,5
88,2010-06-27,18
88,2010-06-28,9
88,2010-07-04,17
88,2010-07-30,12
88,2010-08-14,23
88,2010-08-17,30
88,2010-08-18,15
88,2010-08-23,25
88,2010-09-01,10
88,2010-09-03,36
88,2010-09-05,15
88,2010-09-15,21
88,2010-09-17,15
88,2010-10-23,18
88,2010-10-25,15
88,2010-11-06,18
88,2010-11-23,49
88,2010-11-26,79
88,2010-12-01,126
88,2010-12-02,30
88,2010-12-04,14
88,2010-12-05,83
88,2010-12-06,24
88,2010-12-08,19
88,2010-12-09,30
88,2010-12-10,27
88,2010-12-11,16
88,2010-12-12,58
88,2010-12-15,19
88,2010-12-16,18
88,2010-12-17,21
88,2010-12-20,20
88,2011-03-18,9
98,2009-08-01,11
98,2009-10-15,8
98,2009-10-16,8
98,2009-10-17,31
98,2009-10-18,32
98,2009-10-19,14
98,2009-10-20,19
98,2009-10-24,15
98,2009-10-25,90
98,2009-10-26,24
98,2009-10-28,16
98,2009-10-29,16
98,2009-10-31,15
98,2009-11-02,55
98,2009-11-08,100
98,2009-11-10,19
98,2009-11-12,21
98,2009-11-13,111
98,2009-11-14,35
98,2009-11-17,20
98,2009-11-18,16
98,2009-11-19,57
98,2009-11-20,17
98,2009-11-22,17
98,2009-11-23,31
98,2009-11-27,35
98,2009-11-28,81
98,2009-11-29,12
98,2009-11-30,26
98,2009-12-03,7
98,2009-12-05,66
98,2009-12-06,74
98,2009-12-07,23
98,2009-12-09,47
98,2009-12-11,39
98,2009-12-15,18
98,2009-12-16,84
98,2009-12-18,25
98,2009-12-21,22
98,2009-12-24,59
98,2009-12-25,111
98,2009-12-26,46
98,2010-01-01,21
98,2010-01-10,10
98,2010-01-16,24
98,2010-01-23,26
98,2010-02-01,13
98,2010-02-06,24
98,2010-02-07,59
98,2010-02-14,11
98,2010-02-15,46
98,2010-02-18,39
98,2010-02-24,20
98,2010-02-26,19
98,2010-02-28,45
98,2010-03-01,41
98,2010-03-04,22
98,2010-03-05,11
98,2010-03-06,23
98,2010-03-07,11
98,2010-03-10,30
98,2010-03-13,110
98,2010-03-14,19
98,2010-03-17,35
98,2010-03-18,24
98,2010-03-21,43
98,2010-03-24,11
98,2010-03-28,43
98,2010-03-31,31
98,2010-04-01,11
